21:05:32 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:32 - POST /tai-khoan/refresh-token | user=viet_mai | time=8 ms
21:05:32 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:32 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=7 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:33 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
